TransactionID,CustomerID,Date,Amount,PaymentType,CreditScore,Defaulted
bdd640fb-0667-4ad1-9c80-317fa3b1799d,b5ef1ee6-7ff3-44b9-b69f-a399e1bfff1a,2022-01-01,239.37,Credit Card,581,0
23b8c1e9-3924-46de-beb1-3b9046685257,28a625e1-4133-4ed1-9821-8c7556c8c3c7,2022-01-01,149.45,Debit Card,562,0
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,9631be62-13b4-48db-99bc-e2196fb398f4,2022-01-01,138.23,PayPal,629,0
972a8469-1641-4f82-8b9d-2434e465e150,3dc1e882-0712-4fb9-9cd6-f58eb457bba6,2022-01-01,138.23,Wire Transfer,644,0
17fc695a-07a0-4a6e-8822-e8f36c031199,4279dcd6-86e7-4c6c-8800-69fbd4c7ca67,2022-01-01,464.97,Credit Card,738,0
9a1de644-815e-46d1-bb8f-aa1837f8a88b,7a134ada-2e51-46bd-9857-0bc325ac7254,2022-01-01,286.67,Debit Card,603,0
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,bfe46ba0-6706-42f2-9c3d-7f9635c65a81,2022-01-01,113.11,Debit Card,689,0
6b65a6a4-8b81-48f6-b38a-088ca65ed389,ba885454-7497-4326-a157-45a0d658db7d,2022-01-01,246.98,Credit Card,649,0
47378190-96da-4dac-b2ff-5d2a386ecbe0,b4c754f0-0f44-4302-ae25-acf434cc4768,2022-01-01,199.9,Wire Transfer,593,0
c241330b-01a9-471f-9e8a-774bcf36d58b,a4ba1e5c-f195-4c4c-ace9-b6cb2d12831f,2022-01-01,21.59,Credit Card,618,0
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,1b3e2271-1a71-4bdf-bb6d-e07125b08a57,2022-01-01,67.12,Wire Transfer,693,0
371ecd7b-27cd-4130-8722-9389571aa876,76fc61e3-d5fe-4180-9333-f00ec2f6b14d,2022-01-01,210.62,Debit Card,688,0
1a2a73ed-562b-4f79-8374-59eef50bea63,e312e7dd-a6b8-4e23-9ef9-5050d4838cd3,2022-01-01,436.52,Credit Card,623,0
5be6128e-18c2-4797-a142-ea7d17be3111,1ee5abec-9b53-4a4f-ad09-82b77d76ea43,2022-01-01,139.19,Wire Transfer,667,1
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,6c456d93-1b4a-48ae-bde7-e713f7fd8283,2022-01-01,105.8,Wire Transfer,598,0
759cde66-bacf-43d0-8b1f-9163ce9ff57f,4b662fe0-c789-4c91-8ea5-102b2a14eafd,2022-01-01,181.4,PayPal,641,0
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,8b0ed975-e20e-4794-9de5-d2eb28596e80,2022-01-01,100.53,Wire Transfer,628,0
4b0dbb41-8d52-48f1-942c-3fe860e7a113,44a912f7-49f8-4292-9d30-6afa5f380b5b,2022-01-01,131.77,Credit Card,696,0
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,93be6e0f-6776-4388-8d6f-ccd5d64f7187,2022-01-01,164.93,Credit Card,673,0
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,5ff2b09f-084a-4ec4-bb91-80f58daf7c97,2022-01-01,64.01,Wire Transfer,616,0
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,d5e652b7-1a83-4240-b0a3-a4122cfc142d,2022-01-01,297.01,Credit Card,621,0
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,020359c1-941e-42e9-b492-12e96cc1bd55,2022-01-01,53.52,Debit Card,648,0
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,ce74ec56-db42-4295-95a2-b7e4351399ed,2022-01-01,47.28,Debit Card,641,0
7412b293-4729-4739-a14f-f3d719db3ad0,e6035c26-0793-43db-afeb-0ef22dde29d8,2022-01-01,193.4,Credit Card,636,0
29a3b2e9-5d65-4441-9588-42dea2bc372f,feb1e270-69c8-4b17-bf33-5ada2e20766f,2022-01-02,281.34,Wire Transfer,632,0
ab9099a4-35a2-40ae-9af3-05535ec42e08,cb725702-9192-418f-bbe3-f251f6096928,2022-01-02,189.78,Debit Card,718,0
aefcfad8-efc8-4849-b3aa-7efe4458a885,ff33c8fc-187c-4e97-838f-e1188cb2214e,2022-01-02,152.18,Wire Transfer,627,0
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,2f33d653-4421-4249-a3f6-b904fab34b7f,2022-01-02,130.74,Credit Card,664,0
